May 2025 Settlement Values,
Industrials Select Sector Index (SISIN),1134.62
Financial Select Sector Index (SISM),467.69
Consumer Staples Select Sector Index (SISR),726.74
Real Estate Select Sector Index (SISRE),190.2
Technology Select Sector Index (SIST),2017.07
Utilities Select Sector Index (SISUT),617.65
Dow Jones (DJS),376.16
Health Care Select Sector Index (SISV),1409.87
Consumer Discretionary Select Sector Index (SISY),1766.86
Russell 1000 Index (RIR),2632.17
Russell 1000 Growth (RLR),3113.2
Russell 1000 Value (RVS),1604.43
Mini-SPX (XSP),483.98
Russell 2000 (RLS),1935.26
VIX Options (VRO),15.13
December 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),12.31
S&P 100 (OEX),2213.6
S&P 500 Scored & Screened Index,415.86
S&P 500 (SET),4694.27
S&P 500 PM-Settled,4719.19
MSCI EAFE (MXS),2192.98
MSCI Emerging Markets (EFS),1000.89
Materials Select Sector Index (SISB),900.21
Communication Services Select Sector Index (SISC),370.97
Energy Select Sector Index (SISE),879.79
Industrials Select Sector Index (SISIN),1134.24
Financial Select Sector Index (SISM),459.69
Consumer Staples Select Sector Index (SISR),715.23
Real Estate Select Sector Index (SISRE),195.2
Technology Select Sector Index (SIST),1931.46
Utilities Select Sector Index (SISUT),642.72
Dow Jones (DJS),369.96
Health Care Select Sector Index (SISV),1351.43
Consumer Discretionary Select Sector Index (SISY),1808.98
Russell 1000 Index (RIR),2581.98
Russell 1000 Growth (RLR),2997.8
Russell 1000 Value (RVS),1608.94
Mini-SPX (XSP),471.92
Russell 2000 (RLS),2009.33
November 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2135.29
S&P 500 Scored & Screened Index,401.87
S&P 500 (SET),4517.97
S&P 500 PM-Settled,4514.02
MSCI EAFE (MXS),2100.88
MSCI Emerging Markets (EFS),976.52
Materials Select Sector Index (SISB),850.13
Communication Services Select Sector Index (SISC),365.92
Energy Select Sector Index (SISE),885.46
Industrials Select Sector Index (SISIN),1061.93
Financial Select Sector Index (SISM),430.89
Consumer Staples Select Sector Index (SISR),698.64
Real Estate Select Sector Index (SISRE),176.08
Technology Select Sector Index (SIST),1839.31
Utilities Select Sector Index (SISUT),627.58
Dow Jones (DJS),350.41
Health Care Select Sector Index (SISV),1294.07
Consumer Discretionary Select Sector Index (SISY),1687.27
Russell 1000 Index (RIR),2469.95
Russell 1000 Growth (RLR),2896.95
Russell 1000 Value (RVS),1520.8
Mini-SPX (XSP),451.4
Russell 2000 (RLS),1788.77
