May 2025 Settlement Values,
FTSE-100 Mini Index (UKS),731.05
FTSE China 50 Mini Index (FZS),185.79
FTSE Emerging Index Options (EMS),521.88
S&P 500 PM Settled Options (SPX),2425.55
July 2017 Settlement Values,
S&P 100 (OEX),1087.74
S&P 500 (SET),2465.65
VIX Options (VRO),10.11
RVX Options (RSL),13.81
Dow Jones (DJS),215.67
NASDAQ 100 (NDS),5892.11
MSCI EAFE (MXS),1927.65
MSCI Emerging Markets (EFS),1060.18
RUSSELL 2000 (RLS),1454.29
Russell 1000 Index (RIR),1366.58
Russell 1000 Growth (RLR),1225.65
Russell 1000 Value (RVS),1147.35
FTSE-100 Mini Index (UKS),751.59
FTSE China 50 Mini Index (FZS),185.5
FTSE Emerging Index Options (EMS),518.77
S&P 500 PM Settled Options (SPX),2472.54
June 2017 Settlement Values,
S&P 100 (OEX),1071.85
S&P 500 (SET),2434.89
VIX Options (VRO),10.71
RVX Options (RSL),14.74
Dow Jones (DJS),213.6
NASDAQ 100 (NDS),5702.27
MSCI EAFE (MXS),1892.93
MSCI Emerging Markets (EFS),1003.12
RUSSELL 2000 (RLS),1397.2
Russell 1000 Index (RIR),1349.18
Russell 1000 Growth (RLR),1198.83
Russell 1000 Value (RVS),1143.86
FTSE-100 Mini Index (UKS),748.61
FTSE China 50 Mini Index (FZS),177.12
FTSE Emerging Index Options (EMS),495.08
S&P 500 PM Settled Options (SPX),2433.15
May 2017 Settlement Values,
S&P 100 (OEX),1050.79
S&P 500 (SET),2372.5
VIX Options (VRO),12.98
RVX Options (RSL),16.4
Dow Jones (DJS),207.01
NASDAQ 100 (NDS),5642.3
MSCI EAFE (MXS),1882.75
MSCI Emerging Markets (EFS),995.67
RUSSELL 2000 (RLS),1363.38
Russell 1000 Index (RIR),1314.69
Russell 1000 Growth (RLR),1170.1
Russell 1000 Value (RVS),1112.71
FTSE-100 Mini Index (UKS),748.41
FTSE China 50 Mini Index (FZS),175.52
FTSE Emerging Index Options (EMS),493.93
S&P 500 PM Settled Options (SPX),2381.73
April 2017 Settlement Values,
S&P 100 (OEX),1037.07
S&P 500 PM Settled Options (SPXPM),2348.69
S&P 500 (SET),2354.18
VIX Options (VRO),14.37
RVX Options (RSL),19.6
Dow Jones (DJS),205.91
NASDAQ 100 (NDS),5445.46
MSCI EAFE (MXS),1780.77
MSCI Emerging Markets (EFS),961.78
RUSSELL 2000 (RLS),1382.87
Russell 1000 Index (RIR),1306.3
Russell 1000 Growth (RLR),1147
Russell 1000 Value (RVS),1121.26
FTSE-100 Mini Index (UKS),710.81
FTSE China 50 Mini Index (FZS),170.21
FTSE Emerging Index Options (EMS),484.7
March 2017 Settlement Values,
S&P 100 (OEX),1055.34
S&P 500 PM Settled Options (SPXPM),2378.25
S&P 500 (SET),2385.8
VIX Options (VRO),12.74
RVX Options (RSL),18.35
Dow Jones (DJS),209.72
NASDAQ 100 (NDS),5425.34
MSCI EAFE (MXS),1798.96
MSCI Emerging Markets (EFS),965.57
RUSSELL 2000 (RLS),1383.95
Russell 1000 Index (RIR),1322.39
Russell 1000 Growth (RLR),1147.34
Russell 1000 Value (RVS),1148.89
FTSE-100 Mini Index (UKS),743.85
FTSE China 50 Mini Index (FZS),175.29
FTSE Emerging Index Options (EMS),487.76
February 2017 Settlement Values,
S&P 100 (OEX),1039.23
S&P 500 PM Settled Options (SPXPM),2351.16
S&P 500 (SET),2341.31
VIX Options (VRO),12.26
RVX Options (RSL),17.18
Dow Jones (DJS),205.5
NASDAQ 100 (NDS),5294.83
MSCI EAFE (MXS),1754.94
MSCI Emerging Markets (EFS),939.03
RUSSELL 2000 (RLS),1399.13
Russell 1000 Index (RIR),1299.88
Russell 1000 Growth (RLR),1121.39
Russell 1000 Value (RVS),1135.77
FTSE-100 Mini Index (UKS),728.11
FTSE China 50 Mini Index (FZS),171.8
FTSE Emerging Index Options (EMS),477.13
January 2017 Settlement Values,
S&P 100 (OEX),1003.04
S&P 500 PM Settled Options (SPXPM),2271.31
S&P 500 (SET),2273.6
VIX Options (VRO),12.52
RVX Options (RSL),21.85
Dow Jones (DJS),198.34
NASDAQ 100 (NDS),5079.46
MSCI EAFE (MXS),1719.58
MSCI Emerging Markets (EFS),893.28
RUSSELL 2000 (RLS),1347.41
Russell 1000 Index (RIR),1261.85
Russell 1000 Growth (RLR),1083.11
Russell 1000 Value (RVS),1107.99
FTSE-100 Mini Index (UKS),721.33
FTSE China 50 Mini Index (FZS),162.19
FTSE Emerging Index Options (EMS),451.88
December 2016 Settlement Values,
S&P 100 (OEX),999.89
S&P 500 PM Settled Options (SPXPM),2258.07
S&P 500 (SET),2268.63
VIX Options (VRO),11.15
RVX Options (RSL),16.84
Dow Jones (DJS),199.18
NASDAQ 100 (NDS),4954.19
MSCI EAFE (MXS),1668.6
MSCI Emerging Markets (EFS),856.4
RUSSELL 2000 (RLS),1370.86
Russell 1000 Index (RIR),1257.66
Russell 1000 Growth (RLR),1068.75
Russell 1000 Value (RVS),1115.09
FTSE-100 Mini Index (UKS),700.78
FTSE China 50 Mini Index (FZS),157.09
FTSE Emerging Index Options (EMS),433.39
November 2016 Settlement Values,
S&P 100 (OEX),963.13
S&P 500 PM Settled Options (SPXPM),2181.9
S&P 500 (SET),2186.11
VIX Options (VRO),14.76
RVX Options (RSL),19
Dow Jones (DJS),188.89
NASDAQ 100 (NDS),4824.74
MSCI EAFE (MXS),1614.17
MSCI Emerging Markets (EFS),844.53
RUSSELL 2000 (RLS),1311.28
Russell 1000 Index (RIR),1213.33
Russell 1000 Growth (RLR),1043.04
Russell 1000 Value (RVS),1063.78
FTSE-100 Mini Index (UKS),676.56
FTSE China 50 Mini Index (FZS),157.41
FTSE Emerging Index Options (EMS),428.3
October 2016 Settlement Values,
S&P 100 (OEX),949.66
S&P 500 PM Settled Options (SPXPM),2141.16
S&P 500 (SET),2132.97
VIX Options (VRO),14.56
RVX Options (RSL),19.28
Dow Jones (DJS),180.64
NASDAQ 100 (NDS),4839.55
MSCI EAFE (MXS),1672.45
MSCI Emerging Markets (EFS),911.24
RUSSELL 2000 (RLS),1209.41
Russell 1000 Index (RIR),1181.83
Russell 1000 Growth (RLR),1031.24
Russell 1000 Value (RVS),1020.88
FTSE-100 Mini Index (UKS),703.96
FTSE China 50 Mini Index (FZS),165.12
FTSE Emerging Index Options (EMS),461.68
September 2016 Settlement Values,
S&P 100 (OEX),948.8
S&P 500 PM Settled Options (SPXPM),2139.16
S&P 500 (SET),2139.96
VIX Options (VRO),14.92
RVX Options (RSL),19.33
Dow Jones (DJS),181.68
NASDAQ 100 (NDS),4820.03
MSCI EAFE (MXS),1664.77
MSCI Emerging Markets (EFS),885.45
RUSSELL 2000 (RLS),1224.85
Russell 1000 Index (RIR),1185.65
Russell 1000 Growth (RLR),1035.11
Russell 1000 Value (RVS),1023.63
FTSE-100 Mini Index (UKS),673.95
FTSE China 50 Mini Index (FZS),163.74
August 2016 Settlement Values,
S&P 100 (OEX),964.8
S&P 500 PM Settled Options (SPXPM),2183.87
S&P 500 (SET),2180.04
VIX Options (VRO),12.8
RVX Options (RSL),15.77
Dow Jones (DJS),185.31
NASDAQ 100 (NDS),4798.53
MSCI EAFE (MXS),1699.76
MSCI Emerging Markets (EFS),910.34
RUSSELL 2000 (RLS),1234.19
Russell 1000 Index (RIR),1207.31
Russell 1000 Growth (RLR),1051.85
Russell 1000 Value (RVS),1044.51
FTSE-100 Mini Index (UKS),685.77
FTSE China 50 Mini Index (FZS),164.46
July 2016 Settlement Values,
S&P 100 (OEX),955.92
S&P 500 PM Settled Options (SPXPM),2161.74
S&P 500 (SET),2172.54
VIX Options (VRO),11.62
RVX Options (RSL),16.35
Dow Jones (DJS),185.82
NASDAQ 100 (NDS),4616.72
MSCI EAFE (MXS),1650.14
MSCI Emerging Markets (EFS),867.84
RUSSELL 2000 (RLS),1208.82
Russell 1000 Index (RIR),1202.19
Russell 1000 Growth (RLR),1043.38
Russell 1000 Value (RVS),1044.1
FTSE-100 Mini Index (UKS),663.53
FTSE China 50 Mini Index (FZS),154.98
June 2016 Settlement Values,
S&P 100 (OEX),914.95
S&P 500 PM Settled Options (SPXPM),2071.22
S&P 500 (SET),2079.12
VIX Options (VRO),20.44
GVZ Options (GVN),22.52
RVX Options (RSL),22.73
Dow Jones (DJS),177.33
NASDAQ 100 (NDS),4422.13
MSCI EAFE (MXS),1595.33
MSCI Emerging Markets (EFS),806.22
RUSSELL 2000 (RLS),1150.52
Russell 1000 Index (RIR),1150.84
Russell 1000 Growth (RLR),1000.85
Russell 1000 Value (RVS),997.35
FTSE-100 Mini Index (UKS),604.43
FTSE China 50 Mini Index (FZS),144.52
May 2016 Settlement Values,
S&P 100 (OEX),909.15
S&P 500 PM Settled Options (SPXPM),2052.32
S&P 500 (SET),2047.87
VIX Options (VRO),15.89
RVX Options (RSL),20.06
Dow Jones (DJS),174.94
NASDAQ 100 (NDS),4326.67
MSCI EAFE (MXS),1634.29
MSCI Emerging Markets (EFS),785.26
RUSSELL 2000 (RLS),1099.75
Russell 1000 Index (RIR),1132.53
Russell 1000 Growth (RLR),984.07
Russell 1000 Value (RVS),982.36
FTSE-100 Mini Index (UKS),613.12
FTSE China 50 Mini Index (FZS),141.27
April 2016 Settlement Values,
S&P 100 (OEX),923.97
S&P 500 PM Settled Options (SPXPM),2080.73
S&P 500 (SET),2083.83
VIX Options (VRO),12.38
RVX Options (RSL),17.25
Dow Jones (DJS),179.26
NASDAQ 100 (NDS),4558.99
MSCI EAFE (MXS),1682.11
MSCI Emerging Markets (EFS),846.7
RUSSELL 2000 (RLS),1124.95
Russell 1000 Index (RIR),1152.45
Russell 1000 Growth (RLR),1014
Russell 1000 Value (RVS),986.56
FTSE-100 Mini Index (UKS),636.57
FTSE China 50 Mini Index (FZS),155.24
March 2016 Settlement Values,
S&P 100 (OEX),907.88
S&P 500 PM Settled Options (SPXPM),2049.58
S&P 500 (SET),2050.07
VIX Options (VRO),16.22
RVX Options (RSL),21.36
Dow Jones (DJS),175.57
NASDAQ 100 (NDS),4425.81
MSCI EAFE (MXS),1660.5
MSCI Emerging Markets (EFS),826.76
RUSSELL 2000 (RLS),1097.85
Russell 1000 Index (RIR),1132.13
Russell 1000 Growth (RLR),990.36
Russell 1000 Value (RVS),975.16
February 2016 Settlement Values,
S&P 100 (OEX),857.25
S&P 500 PM Settled Options (SPXPM),1917.78
S&P 500 (SET),1911.37
VIX Options (VRO),23.76
RVX Options (RSL),29.61
Dow Jones (DJS),163.8
NASDAQ 100 (NDS),4134.65
MSCI EAFE (MXS),1557.03
MSCI Emerging Markets (EFS),740.98
RUSSELL 2000 (RLS),1001.98
Russell 1000 Index (RIR),1052.37
Russell 1000 Growth (RLR),926.54
Russell 1000 Value (RVS),900.29
January 2016 Settlement Values,
S&P 100 (OEX),839.89
S&P 500 PM Settled Options (SPXPM),1880.33
S&P 500 (SET),1866.72
VIX Options (VRO),27.4
RVX Options (RSL),31.66
Dow Jones (DJS),159.35
NASDAQ 100 (NDS),4114.47
MSCI EAFE (MXS),1565.24
MSCI Emerging Markets (EFS),709.19
RUSSELL 2000 (RLS),996.87
Russell 1000 Index (RIR),1030.66
Russell 1000 Growth (RLR),908.88
Russell 1000 Value (RVS),880.2
December 2015 Settlement Values,
S&P 100 (OEX),896.05
S&P 500 PM Settled Options (SPXPM),2005.55
S&P 500 (SET),2029.72
VIX Options (VRO),19.23
RVX Options (RSL),20.47
Dow Jones (DJS),173.87
NASDAQ 100 (NDS),4576.08
MSCI EAFE (MXS),1687.21
MSCI Emerging Markets (EFS),789.71
RUSSELL 2000 (RLS),1130.67
Russell 1000 Index (RIR),1123.7
Russell 1000 Growth (RLR),995.1
Russell 1000 Value (RVS),955.34
November 2015 Settlement Values,
S&P 100 (OEX),932.99
S&P 500 PM Settled Options (SPXPM),2089.17
S&P 500 (SET),2092.59
VIX Options (VRO),19.16
RVX Options (RSL),20.57
Dow Jones (DJS),178.24
NASDAQ 100 (NDS),4693.31
MSCI EAFE (MXS),1754.65
MSCI Emerging Markets (EFS),843.48
RUSSELL 2000 (RLS),1172.34
Russell 1000 Index (RIR),1159.95
Russell 1000 Growth (RLR),1021.41
Russell 1000 Value (RVS),992.14
October 2015 Settlement Values,
S&P 100 (OEX),901.24
S&P 500 PM Settled Options (SPXPM),2033.11
S&P 500 (SET),2034.33
VIX Options (VRO),14.91
RVX Options (RSL),18.08
Dow Jones (DJS),172.41
NASDAQ 100 (NDS),4432.85
MSCI EAFE (MXS),1763.18
MSCI Emerging Markets (EFS),865.28
RUSSELL 2000 (RLS),1165.51
VXTYN (VXTYS),4.96
September 2015 Settlement Values,
S&P 100 (OEX),861.37
S&P 500 PM Settled Options (SPXPM),1958.03
S&P 500 (SET),1970.1
VIX Options (VRO),22.38
RVX Options (RSL),23.83
Dow Jones (DJS),165.06
NASDAQ 100 (NDS),4331.15
MSCI EAFE (MXS),1713.96
MSCI Emerging Markets (EFS),829.86
VXTYN (VXTYS),5.36
RUSSELL 2000 (RLS),1164.9
August 2015 Settlement Values,
S&P 100 (OEX),864.77
S&P 500 PM Settled Options (SPXPM),1970.89
S&P 500 (SET),2015.47
VIX Options (VRO),14.78
RVX Options (RSL),19.6
Dow Jones (DJS),168.32
NASDAQ 100 (NDS),4315.56
MSCI EAFE (MXS),1756.65
MSCI Emerging Markets (EFS),812.38
RUSSELL 2000 (RLS),1145.06
VXTYN (VXTYS),6.37
July 2015 Settlement Values,
S&P 100 (OEX),943.27
S&P 500 PM Settled Options (SPXPM),2126.64
S&P 500 (SET),2124.88
VIX Options (VRO),12.82
RVX Options (RSL),16.62
Dow Jones (DJS),180.59
NASDAQ 100 (NDS),4644.53
MSCI EAFE (MXS),1889.53
MSCI Emerging Markets (EFS),941.68
VXTYN (VXTYS),5.33
RUSSELL 2000 (RLS),1273.72
June 2015 Settlement Values,
S&P 100 (OEX),927.63
S&P 500 PM Settled Options (SPXPM),2109.99
S&P 500 (SET),2117.11
VIX Options (VRO),14.67
VXEEM Options (VXEST),20.48
RVX Options (RSL),16.89
Dow Jones (DJS),180.79
NASDAQ 100 (NDS),4533.84
MSCI EAFE (MXS),1882.91
MSCI Emerging Markets (EFS),974.57
RUSSELL 2000 (RLS),1286.11
VXTYN (VXTYS),6.2
May 2015 Settlement Values,
S&P 100 (OEX),933.12
S&P 500 PM Settled Options (SPXPM),2122.73
S&P 500 (SET),2123.45
VIX Options (VRO),12.8
VXEEM Options (VXEST),17.84
VXEWZ Options (VSEWZ),29.51
OVX Options (OVXST),34.5
GVZ Options (GVN),15.87
RVX Options (RSL),15.45
Dow Jones (DJS),182.56
NASDAQ 100 (NDS),4508.39
RUSSELL 2000 (RLS),1245.28
VXTYN (VXTYS),5.86
April 2015 Settlement Values,
S&P 100 (OEX),909.87
S&P 500 PM Settled Options (SPXPM),2081.18
S&P 500 (SET),2090.41
VIX Options (VRO),13.81
VXEEM Options (VXEST),19.16
VXEWZ Options (VSEWZ),33.98
OVX Options (OVXST),48.58
GVZ Options (GVN),15.38
RVX Options (RSL),16.04
Dow Jones (DJS),179.51
NASDAQ 100 (NDS),4378.55
RUSSELL 2000 (RLS),1263.5
VXTYN (VXTYS),5.21
March 2015 Settlement Values,
S&P 100 (OEX),922.49
S&P 500 PM Settled Options (SPXPM),2108.1
S&P 500 (SET),2099.02
VIX Options (VRO),15.67
VXEEM Options (VXEST),20.8
VXEWZ Options (VSEWZ),39.85
OVX Options (OVXST),64.6
GVZ Options (GVN),20.79
RVX Options (RSL),17.93
Dow Jones (DJS),180.42
NASDAQ 100 (NDS),4467.13
RUSSELL 2000 (RLS),1262.14
VXTYN (VXTYS),5.58
February 2015 Settlement Values,
S&P 100 (OEX),926.63
S&P 500 PM Settled Options (SPXPM),2110.3
S&P 500 (SET),2094.87
VIX Options (VRO),16.64
VXEEM Options (VXEST),22.32
VXEWZ Options (VSEWZ),36.9
OVX Options (OVXST),62.72
GVZ Options (GVN),19.97
RVX Options (RSL),19.32
Dow Jones (DJS),179.58
NASDAQ 100 (NDS),4417.13
RUSSELL 2000 (RLS),1228.33
January 2015 Settlement Values,
S&P 100 (OEX),889.8
S&P 500 PM Settled Options (SPXPM),2019.42
S&P 500 (SET),1989.68
VIX Options (VRO),20.97
VXEEM Options (VXEST),21.23
VXEWZ Options (VSEWZ),34.51
OVX Options (OVXST),62.5
GVZ Options (GVN),23.87
RVX Options (RSL),24
Dow Jones (DJS),172.87
NASDAQ 100 (NDS),4085.9
RUSSELL 2000 (RLS),1150.75
December 2014 Settlement Values,
S&P 100 (OEX),915.23
S&P 500 (SET),2061.01
VIX Options (VRO),24.09
VXEEM Options (VXEST),27.11
VXEWZ Options (VSEWZ),37.61
OVX Options (OVXST),60.28
GVZ Options (GVN),22.31
RVX Options (RSL),25.6
Dow Jones (DJS),177.55
Russell 2000 (RLS),1191.29
NASDAQ 100 (NDS),4258.2
November 2014 Settlement Values,
S&P 100 (OEX),914.78
S&P 500 (SET),2075.42
VIX Options (VRO),14.55
VXEEM Options (VXEST),20.35
VXEWZ Options (VSEWZ),32.5
OVX Options (OVXST),44.9
GVZ Options (GVN),23.84
RVX Options (RSL),19.19
Dow Jones (DJS),178.94
Russell 2000 (RLS),1186.47
NASDAQ 100 (NDS),4297.35
October 2014 Settlement Values,
S&P 100 (OEX),840.94
S&P 500 (SET),1881.8
VIX Options (VRO),15.92
VXEEM Options (VXEST),24.81
VXEWZ Options (VSEWZ),65.8
OVX Options (OVXST),28.1
GVZ Options (GVN),16.54
RVX Options (RSL),20.85
Dow Jones (DJS),162.63
Russell 2000 (RLS),1101.59
NASDAQ 100 (NDS),3806.15
September 2014 Settlement Values,
S&P 100 (OEX),897.09
S&P 500 (SET),2022.46
VIX Options (VRO),13.03
VXEEM Options (VXEST),21.76
VXEWZ Options (VSEWZ),46.21
OVX Options (OVXST),19.28
GVZ Options (GVN),14.41
RVX Options (RSL),18.52
Dow Jones (DJS),173.69
Russell 2000 (RLS),1162.09
NASDAQ 100 (NDS),4124.2
August 2014 Settlement Values,
S&P 100 (OEX),868.27
S&P 500 (SET),1963.31
VIX Options (VRO),12.15
VXEEM Options (VXEST),15.62
VXEWZ Options (VSEWZ),23.77
OVX Options (OVXST),19.53
GVZ Options (GVN),13.44
RVX Options (RSL),17.5
Dow Jones (DJS),167.61
Russell 2000 (RLS),1153.71
NASDAQ 100 (NDS),4002.43
July 2014 Settlement Values,
S&P 100 (OEX),879.49
S&P 500 (SET),1966.31
VIX Options (VRO),11.03
VXEEM Options (VXEST),13.89
VXEWZ Options (VSEWZ),23.62
OVX Options (OVXST),18.08
GVZ Options (GVN),13.92
RVX Options (RSL),18.4
Dow Jones (DJS),170.24
Russell 2000 (RLS),1130.7
NASDAQ 100 (NDS),3908.34
June 2014 Settlement Values,
S&P 100 (OEX),866.15
S&P 500 (SET),1964.52
VIX Options (VRO),11.74
VXEEM Options (VXEST),18.46
VXEWZ Options (VSEWZ),30.28
OVX Options (OVXST),18.11
GVZ Options (GVN),12.59
RVX Options (RSL),17.38
Dow Jones (DJS),169.77
Russell 2000 (RLS),1187.41
NASDAQ 100 (NDS),3810.67
May 2014 Settlement Values,
S&P 100 (OEX),832.32
S&P 500 (SET),1870.76
VIX Options (VRO),12.27
VXEEM Options (VXEST),16.65
VXEWZ Options (VSEWZ),24.41
OVX Options (OVXST),16.17
GVZ Options (GVN),13.57
RVX Options (RSL),18.37
Dow Jones (DJS),164.46
Russell 2000 (RLS),1094.72
NASDAQ 100 (NDS),3569.3
April 2014 Settlement Values,
S&P 100 (OEX),825.68
S&P 500 (SET),1858.82
VIX Options (VRO),14.67
VXEEM Options (VXEST),21.65
VXEWZ Options (VSEWZ),31.01
OVX Options (OVXST),18.99
GVZ Options (GVN),15.87
RVX Options (RSL),21.94
Dow Jones (DJS),163.81
Russell 2000 (RLS),1129.84
NASDAQ 100 (NDS),3522.95
March 2014 Settlement Values,
S&P 100 (OEX),823.69
S&P 500 (SET),1893.3
VIX Options (VRO),15.46
VXEEM Options (VXEST),29.23
VXEWZ Options (VSEWZ),33.11
OVX Options (OVXST),20.91
GVZ Options (GVN),18.18
RVX Options (RSL),20.82
Dow Jones (DJS),164.99
Russell 2000 (RLS),1205.14
NASDAQ 100 (NDS),3734.79
February 2014 Settlement Values,
S&P 100 (OEX),807.33
S&P 500 (SET),1841.85
VIX Options (VRO),15.47
VXEEM Options (VXEST),28.86
VXEWZ Options (VSEWZ),34.95
OVX Options (OVXST),18.59
GVZ Options (GVN),16.12
RVX Options (RSL),21
Dow Jones (DJS),161.3
Russell 2000 (RLS),1167.71
NASDAQ 100 (NDS),3686.55
January 2014 Settlement Values,
S&P 100 (OEX),817.33
S&P 500 (SET),1846.06
VIX Options (VRO),12.36
VXEEM Options (VXEST),22.8
VXEWZ Options (VSEWZ),25.12
OVX Options (OVXST),18.17
GVZ Options (GVN),15.81
RVX Options (RSL),16.93
Dow Jones (DJS),164.4
Russell 2000 (RLS),1171.95
NASDAQ 100 (NDS),3599.64
December 2013 Settlement Values,
S&P 100 (OEX):,809.74
S&P 500 (SET):,1812.89
VIX Options (VRO):,15.84
VXEEM Options (VXEST):,24.77
VXEWZ Options (VSEWZ),28.3
OVX Options (OVXST),17.5
GVZ Options (GVN):,22.04
Dow Jones (DJS):,162.09
Russell 2000 (RLS):,1128.91
NASDAQ 100 (NDS):,3503.98
November 2013 Settlement Values,
S&P 100 (OEX):,802.1
S&P 500 (SET):,1790.9
VIX Options (VRO):,14.12
VXEEM Options (VXEST):,25.89
VXEWZ Options (VSEWZ),28.27
OVX Options (OVXST),19.59
GVZ Options (GVN):,20.97
Dow Jones (DJS):,158.78
Russell 2000 (RLS):,1111.25
NASDAQ 100 (NDS):,3415.7
October 2013 Settlement Values,
S&P 100 (OEX):,776.21
S&P 500 (SET):,1739.84
VIX Options (VRO):,17.21
VXEEM Options (VXEST):,24.21
VXEWZ Options (VSEWZ),26.2
OVX Options (OVXST),24.03
GVZ Options (GVN):,26.48
Dow Jones (DJS):,153.68
Russell 2000 (RLS):,1112.63
NASDAQ 100 (NDS):,3332.23
September 2013 Settlement Values,
S&P 100 (OEX):,763.23
S&P 500 (SET):,1723.89
VIX Options (VRO):,14.77
VXEEM Options (VXEST):,24.79
VXEWZ Options (VSEWZ),28.68
OVX Options (OVXST),23.35
GVZ Options (GVN):,25.66
Dow Jones (DJS):,156.39
Russell 2000 (RLS):,1078.65
NASDAQ 100 (NDS):,3245.97
August 2013 Settlement Values,
S&P 100 (OEX):,742.38
S&P 500 (SET):,1657
VIX Options (VRO):,16.42
VXEEM Options (VXEST):,26.41
VXEWZ Options (VSEWZ),30.58
OVX Options (OVXST),24.71
GVZ Options (GVN):,24.01
Dow Jones (DJS):,150.8
Russell 2000 (RLS):,1023.4
NASDAQ 100 (NDS):,3075.84
July 2013 Settlement Values,
S&P 100 (OEX):,757.51
S&P 500 (SET):,1688.8
VIX Options (VRO):,14.43
VXEEM Options (VXEST):,26.72
VXEWZ Options (VSEWZ),29.55
OVX Options (OVXST),25.36
GVZ Options (GVN):,22.71
Dow Jones (DJS):,155.26
Russell 2000 (RLS):,1047.67
NASDAQ 100 (NDS):,3053.26
June 2013 Settlement Values,
S&P 100 (OEX):,717.58
S&P 500 (SET):,1599.93
VIX Options (VRO):,17.22
VXEEM Options (VXEST):,28.49
VXEWZ Options (VSEWZ),33.75
OVX Options (OVXST),21.1
GVZ Options (GVN):,22.47
Dow Jones (DJS):,148.68
Russell 2000 (RLS):,964.44
NASDAQ 100 (NDS):,2895.5
May 2013 Settlement Values,
S&P 100 (OEX):,747.72
S&P 500 (SET):,1654.89
VIX Options (VRO):,13.17
VXEEM Options (VXEST):,18.15
VXEWZ Options (VSEWZ),18.47
OVX Options (OVXST),24.01
GVZ Options (GVN):,27.09
Dow Jones (DJS):,152.43
Russell 2000 (RLS):,989.53
NASDAQ 100 (NDS):,3017.36
April 2013 Settlement Values,
S&P 100 (OEX):,700.82
S&P 500 (SET):,1545.35
VIX Options (VRO):,15.46
VXEEM Options (VXEST):,21.18
VXEWZ Options (VSEWZ),22.3
OVX Options (OVXST),28.27
GVZ Options (GVN):,28.5
Dow Jones (DJS):,145.06
Russell 2000 (RLS):,901.94
NASDAQ 100 (NDS):,2741.72
March 2013 Settlement Values,
S&P 100 (OEX):,701.75
S&P 500 (SET):,1557.08
VIX Options (VRO):,12.64
VXEEM Options (VXEST):,18.61
VXEWZ Options (VSEWZ),20.21
OVX Options (OVXST),20.73
GVZ Options (GVN):,14.84
Dow Jones (DJS):,144.94
Russell 2000 (RLS):,953.58
NASDAQ 100 (NDS):,2803.36
February 2013 Settlement Values,
S&P 100 (OEX):,683.97
S&P 500 (SET):,1523.06
VIX Options (VRO):,13.07
VXEEM Options (VXEST):,16.59
VXEWZ Options (VSEWZ),17.73
OVX Options (OVXST),19.87
GVZ Options (GVN):,14.09
Dow Jones (DJS):,139.94
Russell 2000 (RLS):,928.61
NASDAQ 100 (NDS):,2772.26
January 2013 Settlement Values,
S&P 100 (OEX):,671.37
S&P 500 (SET):,1481.36
VIX Options (VRO):,13.69
VXEEM Options (VXEST):,18
VXEWZ Options (VSEWZ),19.1
OVX Options (OVXST),25.24
GVZ Options (GVN):,13.83
Dow Jones (DJS):,136
Russell 2000 (RLS):,889.72
NASDAQ 100 (NDS):,2734.67
December 2012 Settlement Values,
S&P 100 (OEX):,648.96
S&P 500 (SET):,1433.59
VIX Options (VRO):,16.69
VXEEM Options (VXEST):,20.46
VXEWZ Options (VSEWZ),22.81
OVX Options (OVXST),28.34
GVZ Options (GVN):,14.63
Dow Jones (DJS):,132.5
Russell 2000 (RLS):,846.02
NASDAQ 100 (NDS):,2658.05
November 2012 Settlement Values,
S&P 100 (OEX):,619.03
S&P 500 (SET):,1353.46
VIX Options (VRO):,15.05
VXEEM Options (VXEST):,17.19
VXEWZ Options (VSEWZ),23.5
OVX Options (OVXST),30.02
GVZ Options (GVN):,12.96
Dow Jones (DJS):,125.35
Russell 2000 (RLS):,768.02
NASDAQ 100 (NDS):,2522.5
October 2012 Settlement Values,
S&P 100 (OEX):,657.11
S&P 500 (SET):,1454.2
VIX Options (VRO):,15.96
VXEEM Options (VXEST):,20.94
VXEWZ Options (VSEWZ),24.33
OVX Options (OVXST),35.78
GVZ Options (GVN):,15.54
Dow Jones (DJS):,134.99
Russell 2000 (RLS):,831.61
NASDAQ 100 (NDS):,2742.42
September 2012 Settlement Values,
S&P 100 (OEX):,672.27
S&P 500 (SET):,1467.17
VIX Options (VRO):,14.03
VXEEM Options (VXEST):,21.8
VXEWZ Options (VSEWZ),26.62
OVX Options (OVXST),32.82
GVZ Options (GVN):,18.52
Dow Jones (DJS):,136.52
Russell 2000 (RLS):,862.06
NASDAQ 100 (NDS):,2875.44
August 2012 Settlement Values,
S&P 100 (OEX):,651.58
S&P 500 (SET):,1419.02
VIX Options (VRO):,15.13
VXEEM Options (VXEST):,20.87
VXEWZ Options (VSEWZ),27.51
OVX Options (OVXST),30.99
GVZ Options (GVN):,16.88
Dow Jones (DJS):,132.78
Russell 2000 (RLS):,811.65
NASDAQ 100 (NDS):,2777.99
July 2012 Settlement Values,
S&P 100 (OEX):,626.57
S&P 500 (SET):,1370.28
VIX Options (VRO):,16.76
VXEEM Options (VXEST):,26.34
VXEWZ Options (VSEWZ),28.53
OVX Options (OVXST),35.51
GVZ Options (GVN):,17.98
Dow Jones (DJS):,128.67
Russell 2000 (RLS):,795.27
NASDAQ 100 (NDS):,2657.88
June 2012 Settlement Values,
S&P 100 (OEX):,614.84
S&P 500 (SET):,1336.47
VIX Options (VRO):,17.78
VXEEM Options (VXEST):,27.41
VXEWZ Options (VSEWZ),32.07
OVX Options (OVXST),34.58
GVZ Options (GVN):,21
